Index,Topic,Sentiment Score,Source,Keywords,Subjectivity Score
579,7,0,CNN,"n’t, one, car, year, said, time, peopl, get, like, music",0
580,19,0.375,CNN,"said, coronaviru, peopl, one, que, state, countri, time, say, health",0.5
581,1,0,CNN,"said, trump, coronaviru, presid, work, time, would, say, n’t, one",0
582,19,0,CNN,"said, coronaviru, peopl, one, que, state, countri, time, say, health",0
583,20,0.2,CNN,"said, one, time, would, may, market, also, n’t, govern, work",0.3
584,7,0,CNN,"n’t, one, car, year, said, time, peopl, get, like, music",0
585,19,0,CNN,"said, coronaviru, peopl, one, que, state, countri, time, say, health",0
586,10,0.5,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.833
587,19,0.133,CNN,"said, coronaviru, peopl, one, que, state, countri, time, say, health",0.45
588,19,0.26,CNN,"said, coronaviru, peopl, one, que, state, countri, time, say, health",0.379
589,19,-0.4,CNN,"said, coronaviru, peopl, one, que, state, countri, time, say, health",1
590,19,0.103,CNN,"said, coronaviru, peopl, one, que, state, countri, time, say, health",0.297
591,2,0.305,CNN,"said, peopl, would, say, time, get, first, prine, countri, one",0.548
592,2,0.267,CNN,"said, peopl, would, say, time, get, first, prine, countri, one",0.65
593,10,0.073,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.317
594,10,0.034,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.375
595,19,0,CNN,"said, coronaviru, peopl, one, que, state, countri, time, say, health",0
596,0,0,CNN,"said, test, new, use, compani, canada, coronaviru, health, servic, covid-19",0
597,19,0,CNN,"said, coronaviru, peopl, one, que, state, countri, time, say, health",0
598,19,0,CNN,"said, coronaviru, peopl, one, que, state, countri, time, say, health",0
599,10,0,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0
600,6,0,CNN,"said, would, season, one, player, game, play, peopl, year, also",0
601,7,0.05,CNN,"n’t, one, car, year, said, time, peopl, get, like, music",0.5
602,19,0.05,CNN,"said, coronaviru, peopl, one, que, state, countri, time, say, health",0.5
603,10,0.017,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.033
604,2,0,CNN,"said, peopl, would, say, time, get, first, prine, countri, one",0
605,19,0.033,CNN,"said, coronaviru, peopl, one, que, state, countri, time, say, health",0.067
606,7,0,CNN,"n’t, one, car, year, said, time, peopl, get, like, music",0
607,10,0,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0
608,19,0.017,CNN,"said, coronaviru, peopl, one, que, state, countri, time, say, health",0.183
609,1,0,CNN,"said, trump, coronaviru, presid, work, time, would, say, n’t, one",0.35
610,9,0,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0
611,10,0,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0
612,19,0.05,CNN,"said, coronaviru, peopl, one, que, state, countri, time, say, health",0.5
613,10,0,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0
614,5,0,CNN,"said, market, canadian, canada, report, year, say, one, also, would",0
615,10,0.017,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.033
616,1,0,CNN,"said, trump, coronaviru, presid, work, time, would, say, n’t, one",0
617,19,0,CNN,"said, coronaviru, peopl, one, que, state, countri, time, say, health",0
618,18,0,CNN,"peopl, one, say, said, also, work, like, would, new, use",0
619,7,0,CNN,"n’t, one, car, year, said, time, peopl, get, like, music",0
620,10,0.45,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.5
621,19,0,CNN,"said, coronaviru, peopl, one, que, state, countri, time, say, health",0
622,7,0,CNN,"n’t, one, car, year, said, time, peopl, get, like, music",0
623,19,0.157,CNN,"said, coronaviru, peopl, one, que, state, countri, time, say, health",0.32
624,11,0,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0
625,19,0,CNN,"said, coronaviru, peopl, one, que, state, countri, time, say, health",0
626,2,0,CNN,"said, peopl, would, say, time, get, first, prine, countri, one",0
627,7,0,CNN,"n’t, one, car, year, said, time, peopl, get, like, music",0
628,6,0,CNN,"said, would, season, one, player, game, play, peopl, year, also",0
629,7,0,CNN,"n’t, one, car, year, said, time, peopl, get, like, music",0
630,0,0,CNN,"said, test, new, use, compani, canada, coronaviru, health, servic, covid-19",0
631,5,0,CNN,"said, market, canadian, canada, report, year, say, one, also, would",0
632,2,-0.098,CNN,"said, peopl, would, say, time, get, first, prine, countri, one",0.603
633,15,0.012,CNN,"said, would, coronaviru, health, like, year, one, viru, time, also",0.37
634,19,-0.213,CNN,"said, coronaviru, peopl, one, que, state, countri, time, say, health",0.363
635,10,0.205,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.565
636,19,0.047,CNN,"said, coronaviru, peopl, one, que, state, countri, time, say, health",0.322
637,10,-0.137,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.667
638,19,0.147,CNN,"said, coronaviru, peopl, one, que, state, countri, time, say, health",0.392
639,19,0.106,CNN,"said, coronaviru, peopl, one, que, state, countri, time, say, health",0.403
640,19,0.012,CNN,"said, coronaviru, peopl, one, que, state, countri, time, say, health",0.31
641,19,0.066,CNN,"said, coronaviru, peopl, one, que, state, countri, time, say, health",0.317
642,9,0,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0
643,2,0,CNN,"said, peopl, would, say, time, get, first, prine, countri, one",0
644,1,0,CNN,"said, trump, coronaviru, presid, work, time, would, say, n’t, one",0
645,2,0,CNN,"said, peopl, would, say, time, get, first, prine, countri, one",0
646,1,0.1,CNN,"said, trump, coronaviru, presid, work, time, would, say, n’t, one",0.3
647,0,0,CNN,"said, test, new, use, compani, canada, coronaviru, health, servic, covid-19",0
648,3,0,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0
649,17,0,CNN,"use, said, servic, may, peopl, govern, time, inform, one, also",0
650,11,0,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0
651,8,0,CNN,"peopl, say, n’t, time, like, said, get, work, one, make",0.1
652,7,-0.1,CNN,"n’t, one, car, year, said, time, peopl, get, like, music",0.1
653,19,-0.1,CNN,"said, coronaviru, peopl, one, que, state, countri, time, say, health",0.1
654,18,0.017,CNN,"peopl, one, say, said, also, work, like, would, new, use",0.033
655,1,0,CNN,"said, trump, coronaviru, presid, work, time, would, say, n’t, one",0
656,19,0.04,CNN,"said, coronaviru, peopl, one, que, state, countri, time, say, health",0.231
657,10,0,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.4
658,19,0.16,CNN,"said, coronaviru, peopl, one, que, state, countri, time, say, health",0.46
659,19,0,CNN,"said, coronaviru, peopl, one, que, state, countri, time, say, health",0
660,6,0,CNN,"said, would, season, one, player, game, play, peopl, year, also",0
661,8,0,CNN,"peopl, say, n’t, time, like, said, get, work, one, make",0
662,7,0,CNN,"n’t, one, car, year, said, time, peopl, get, like, music",0
663,7,0.067,CNN,"n’t, one, car, year, said, time, peopl, get, like, music",0.142
664,7,0,CNN,"n’t, one, car, year, said, time, peopl, get, like, music",0
665,10,0,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0
666,10,0.333,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.667
667,10,0,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0
668,10,0.136,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.5
669,4,0,CNN,"peopl, said, star, one, work, n’t, news, time, reader, get",0
670,15,0,CNN,"said, would, coronaviru, health, like, year, one, viru, time, also",1
671,11,0,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0
672,11,0,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0
673,10,-0.156,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.289
674,19,0,CNN,"said, coronaviru, peopl, one, que, state, countri, time, say, health",0
675,19,0,CNN,"said, coronaviru, peopl, one, que, state, countri, time, say, health",0
676,10,0,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0
677,19,0,CNN,"said, coronaviru, peopl, one, que, state, countri, time, say, health",0
678,1,0,CNN,"said, trump, coronaviru, presid, work, time, would, say, n’t, one",0
679,18,0,CNN,"peopl, one, say, said, also, work, like, would, new, use",0
680,20,0,CNN,"said, one, time, would, may, market, also, n’t, govern, work",0
681,11,0,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0
682,20,0,CNN,"said, one, time, would, may, market, also, n’t, govern, work",0
683,20,0,CNN,"said, one, time, would, may, market, also, n’t, govern, work",0
684,20,0,CNN,"said, one, time, would, may, market, also, n’t, govern, work",0
685,4,0,CNN,"peopl, said, star, one, work, n’t, news, time, reader, get",0
686,20,0.179,CNN,"said, one, time, would, may, market, also, n’t, govern, work",0.286
687,7,0.1,CNN,"n’t, one, car, year, said, time, peopl, get, like, music",0.2
688,18,0,CNN,"peopl, one, say, said, also, work, like, would, new, use",0
689,19,0,CNN,"said, coronaviru, peopl, one, que, state, countri, time, say, health",0
690,0,0,CNN,"said, test, new, use, compani, canada, coronaviru, health, servic, covid-19",0
691,14,0,CNN,"n’t, said, say, like, get, time, peopl, day, one, would",0
692,6,0,CNN,"said, would, season, one, player, game, play, peopl, year, also",0
693,6,0,CNN,"said, would, season, one, player, game, play, peopl, year, also",0
694,6,0,CNN,"said, would, season, one, player, game, play, peopl, year, also",0
695,18,0,CNN,"peopl, one, say, said, also, work, like, would, new, use",0
696,13,0,CNN,"said, work, say, one, also, n’t, peopl, year, show, time",0
697,6,0,CNN,"said, would, season, one, player, game, play, peopl, year, also",0
698,16,0,CNN,"said, would, peopl, coronaviru, race, also, n’t, day, one, report",0
699,16,0,CNN,"said, would, peopl, coronaviru, race, also, n’t, day, one, report",0
700,5,0,CNN,"said, market, canadian, canada, report, year, say, one, also, would",0
701,18,0,CNN,"peopl, one, say, said, also, work, like, would, new, use",0
702,0,0,CNN,"said, test, new, use, compani, canada, coronaviru, health, servic, covid-19",0
703,12,0,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0
704,3,0.146,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.404
705,8,0.13,CNN,"peopl, say, n’t, time, like, said, get, work, one, make",0.446
706,12,0.144,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.491
707,9,0.24,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.53
708,0,0.129,CNN,"said, test, new, use, compani, canada, coronaviru, health, servic, covid-19",0.229
709,12,0.32,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.56
710,12,0.111,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.396
711,11,0.051,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.464
712,12,0.053,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.464
713,8,-0.031,CNN,"peopl, say, n’t, time, like, said, get, work, one, make",0.367
714,8,0.059,CNN,"peopl, say, n’t, time, like, said, get, work, one, make",0.338
715,13,0.116,CNN,"said, work, say, one, also, n’t, peopl, year, show, time",0.469
716,8,0.1,CNN,"peopl, say, n’t, time, like, said, get, work, one, make",0.332
717,0,0.164,CNN,"said, test, new, use, compani, canada, coronaviru, health, servic, covid-19",0.332
718,7,0.174,CNN,"n’t, one, car, year, said, time, peopl, get, like, music",0.434
719,11,0.07,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.33
720,12,0.056,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.344
721,15,0.223,CNN,"said, would, coronaviru, health, like, year, one, viru, time, also",0.458
722,0,0.318,CNN,"said, test, new, use, compani, canada, coronaviru, health, servic, covid-19",0.477
723,7,0.12,CNN,"n’t, one, car, year, said, time, peopl, get, like, music",0.405
724,7,0.095,CNN,"n’t, one, car, year, said, time, peopl, get, like, music",0.36
725,10,0.174,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.403
726,14,0.139,CNN,"n’t, said, say, like, get, time, peopl, day, one, would",0.49
727,3,0.176,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.506
728,5,0.08,CNN,"said, market, canadian, canada, report, year, say, one, also, would",0.19
729,10,0.085,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.426
730,20,0.117,CNN,"said, one, time, would, may, market, also, n’t, govern, work",0.219
731,4,0,BBC,"peopl, said, star, one, work, n’t, news, time, reader, get",0
732,9,0.118,BBC,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.37
733,0,-0.078,BBC,"said, test, new, use, compani, canada, coronaviru, health, servic, covid-19",0.144
734,3,-0.021,BBC,"n’t, one, get, time, said, make, like, ’re, say, use",0.548
735,12,0.023,BBC,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.454
736,9,0,BBC,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0
737,8,0.129,BBC,"peopl, say, n’t, time, like, said, get, work, one, make",0.511
738,3,0.253,BBC,"n’t, one, get, time, said, make, like, ’re, say, use",0.474
739,16,0.143,BBC,"said, would, peopl, coronaviru, race, also, n’t, day, one, report",0.418
740,9,0,BBC,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.7
741,9,0.068,BBC,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.453
742,8,0.05,BBC,"peopl, say, n’t, time, like, said, get, work, one, make",0.313
743,4,0.087,BBC,"peopl, said, star, one, work, n’t, news, time, reader, get",0.438
744,13,0.149,BBC,"said, work, say, one, also, n’t, peopl, year, show, time",0.452
745,8,0.173,BBC,"peopl, say, n’t, time, like, said, get, work, one, make",0.426
746,13,0.282,BBC,"said, work, say, one, also, n’t, peopl, year, show, time",0.452
747,3,0.325,BBC,"n’t, one, get, time, said, make, like, ’re, say, use",0.567
748,14,0.5,BBC,"n’t, said, say, like, get, time, peopl, day, one, would",0.625
749,14,0.4,BBC,"n’t, said, say, like, get, time, peopl, day, one, would",0.4
750,4,-0.02,BBC,"peopl, said, star, one, work, n’t, news, time, reader, get",0.446
751,9,0.093,BBC,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.393
752,8,0.125,BBC,"peopl, say, n’t, time, like, said, get, work, one, make",0.392
753,7,0.113,BBC,"n’t, one, car, year, said, time, peopl, get, like, music",0.521
754,13,0.171,BBC,"said, work, say, one, also, n’t, peopl, year, show, time",0.464
755,3,0.123,BBC,"n’t, one, get, time, said, make, like, ’re, say, use",0.413
756,3,0.111,BBC,"n’t, one, get, time, said, make, like, ’re, say, use",0.612
757,11,0.128,BBC,"peopl, said, one, say, covid-19, year, home, time, get, case",0.387
758,8,0.133,BBC,"peopl, say, n’t, time, like, said, get, work, one, make",0.428
759,9,-0.161,BBC,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.346
760,16,0.169,BBC,"said, would, peopl, coronaviru, race, also, n’t, day, one, report",0.41
761,9,0.071,BBC,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.379
762,9,0.098,BBC,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.372
763,8,0.008,BBC,"peopl, say, n’t, time, like, said, get, work, one, make",0.424
764,12,0.044,BBC,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.394
765,12,0.04,BBC,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.444
766,11,0.333,BBC,"peopl, said, one, say, covid-19, year, home, time, get, case",0.542
767,10,0.121,BBC,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.409
768,13,0.086,BBC,"said, work, say, one, also, n’t, peopl, year, show, time",0.314
769,18,-0.156,BBC,"peopl, one, say, said, also, work, like, would, new, use",0.289
770,8,0.105,BBC,"peopl, say, n’t, time, like, said, get, work, one, make",0.445
771,17,0.517,BBC,"use, said, servic, may, peopl, govern, time, inform, one, also",0.683
772,16,0.067,BBC,"said, would, peopl, coronaviru, race, also, n’t, day, one, report",0.283
773,9,0,BBC,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.1
774,19,0.117,BBC,"said, coronaviru, peopl, one, que, state, countri, time, say, health",0.372
775,1,0.1,BBC,"said, trump, coronaviru, presid, work, time, would, say, n’t, one",0.6
776,6,0,BBC,"said, would, season, one, player, game, play, peopl, year, also",0
777,16,0.133,BBC,"said, would, peopl, coronaviru, race, also, n’t, day, one, report",0.532
778,1,0.25,BBC,"said, trump, coronaviru, presid, work, time, would, say, n’t, one",0.4
779,4,0.5,BBC,"peopl, said, star, one, work, n’t, news, time, reader, get",0.55
780,8,-0.304,BBC,"peopl, say, n’t, time, like, said, get, work, one, make",0.526
781,7,0.12,BBC,"n’t, one, car, year, said, time, peopl, get, like, music",0.347
782,3,0,BBC,"n’t, one, get, time, said, make, like, ’re, say, use",0.5
783,12,0.25,BBC,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.25
784,8,0,BBC,"peopl, say, n’t, time, like, said, get, work, one, make",0
785,12,0.033,BBC,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.067
786,3,0.136,BBC,"n’t, one, get, time, said, make, like, ’re, say, use",0.314
787,7,0.239,BBC,"n’t, one, car, year, said, time, peopl, get, like, music",0.502
788,7,0.193,BBC,"n’t, one, car, year, said, time, peopl, get, like, music",0.495
789,11,0.101,BBC,"peopl, said, one, say, covid-19, year, home, time, get, case",0.465
790,9,0.138,BBC,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.471
791,14,0.148,BBC,"n’t, said, say, like, get, time, peopl, day, one, would",0.481
792,14,0.2,BBC,"n’t, said, say, like, get, time, peopl, day, one, would",0.35
793,11,0.012,BBC,"peopl, said, one, say, covid-19, year, home, time, get, case",0.432
794,14,0.05,BBC,"n’t, said, say, like, get, time, peopl, day, one, would",0.43
795,9,0.039,BBC,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.363
796,17,0.085,BBC,"use, said, servic, may, peopl, govern, time, inform, one, also",0.369
797,14,0.058,BBC,"n’t, said, say, like, get, time, peopl, day, one, would",0.498
798,12,0.07,BBC,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.477
799,11,0.085,BBC,"peopl, said, one, say, covid-19, year, home, time, get, case",0.447
800,9,0.072,BBC,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.453
801,8,0.068,BBC,"peopl, say, n’t, time, like, said, get, work, one, make",0.44
802,3,0.092,BBC,"n’t, one, get, time, said, make, like, ’re, say, use",0.477
803,12,-0.013,BBC,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.334
804,8,0.1,BBC,"peopl, say, n’t, time, like, said, get, work, one, make",0.388
805,3,0.188,BBC,"n’t, one, get, time, said, make, like, ’re, say, use",0.471
806,14,0.24,BBC,"n’t, said, say, like, get, time, peopl, day, one, would",0.59
807,8,0.017,BBC,"peopl, say, n’t, time, like, said, get, work, one, make",0.466
808,16,0.006,BBC,"said, would, peopl, coronaviru, race, also, n’t, day, one, report",0.218
809,8,0.062,BBC,"peopl, say, n’t, time, like, said, get, work, one, make",0.457
810,3,0.072,BBC,"n’t, one, get, time, said, make, like, ’re, say, use",0.468
811,11,0.063,BBC,"peopl, said, one, say, covid-19, year, home, time, get, case",0.421
812,11,0.25,BBC,"peopl, said, one, say, covid-19, year, home, time, get, case",0.25
813,11,0.225,BBC,"peopl, said, one, say, covid-19, year, home, time, get, case",0.785
814,11,0,BBC,"peopl, said, one, say, covid-19, year, home, time, get, case",0
815,3,0,BBC,"n’t, one, get, time, said, make, like, ’re, say, use",0
816,8,0.092,BBC,"peopl, say, n’t, time, like, said, get, work, one, make",0.525
817,0,0.8,BBC,"said, test, new, use, compani, canada, coronaviru, health, servic, covid-19",1
818,7,0.149,BBC,"n’t, one, car, year, said, time, peopl, get, like, music",0.498
819,17,0.033,BBC,"use, said, servic, may, peopl, govern, time, inform, one, also",0.067
820,11,0.25,BBC,"peopl, said, one, say, covid-19, year, home, time, get, case",0.25
821,9,-0.08,BBC,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.605
822,12,0.275,BBC,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.4
823,12,0,BBC,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.5
824,16,0.033,BBC,"said, would, peopl, coronaviru, race, also, n’t, day, one, report",0.217
825,6,0,BBC,"said, would, season, one, player, game, play, peopl, year, also",0
826,16,0.151,BBC,"said, would, peopl, coronaviru, race, also, n’t, day, one, report",0.563
827,9,-0.6,BBC,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",1
828,12,0.083,BBC,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.485
829,1,-0.084,BBC,"said, trump, coronaviru, presid, work, time, would, say, n’t, one",0.399
830,9,0.032,BBC,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.418
831,9,0.005,BBC,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.352
832,16,0.074,BBC,"said, would, peopl, coronaviru, race, also, n’t, day, one, report",0.414
833,12,0.057,BBC,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.294
834,12,-0.003,BBC,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.237
835,16,0.054,BBC,"said, would, peopl, coronaviru, race, also, n’t, day, one, report",0.356
836,14,0.033,BBC,"n’t, said, say, like, get, time, peopl, day, one, would",0.45
837,14,0.02,BBC,"n’t, said, say, like, get, time, peopl, day, one, would",0.486
838,14,-0.069,BBC,"n’t, said, say, like, get, time, peopl, day, one, would",0.462
839,17,0.084,BBC,"use, said, servic, may, peopl, govern, time, inform, one, also",0.396
840,9,0.059,BBC,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.436
841,8,0.062,BBC,"peopl, say, n’t, time, like, said, get, work, one, make",0.447
842,0,0.119,BBC,"said, test, new, use, compani, canada, coronaviru, health, servic, covid-19",0.469
843,8,0.109,BBC,"peopl, say, n’t, time, like, said, get, work, one, make",0.469
844,12,-0.088,BBC,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.352
845,12,0.178,BBC,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.231
846,4,-0.075,BBC,"peopl, said, star, one, work, n’t, news, time, reader, get",0.55
847,13,0.025,BBC,"said, work, say, one, also, n’t, peopl, year, show, time",0.507
848,3,0.106,BBC,"n’t, one, get, time, said, make, like, ’re, say, use",0.455
849,9,0.101,BBC,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.32
850,3,0.165,BBC,"n’t, one, get, time, said, make, like, ’re, say, use",0.501
851,8,0.079,BBC,"peopl, say, n’t, time, like, said, get, work, one, make",0.491
852,12,0.094,BBC,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.385
853,16,0.085,BBC,"said, would, peopl, coronaviru, race, also, n’t, day, one, report",0.424
854,14,0.036,BBC,"n’t, said, say, like, get, time, peopl, day, one, would",0.457
855,8,0.098,BBC,"peopl, say, n’t, time, like, said, get, work, one, make",0.46
856,6,0.024,BBC,"said, would, season, one, player, game, play, peopl, year, also",0.477
857,8,0.013,BBC,"peopl, say, n’t, time, like, said, get, work, one, make",0.328
858,3,0.202,BBC,"n’t, one, get, time, said, make, like, ’re, say, use",0.469
859,3,0.268,BBC,"n’t, one, get, time, said, make, like, ’re, say, use",0.369
860,10,0.073,BBC,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.397
861,8,-0.033,BBC,"peopl, say, n’t, time, like, said, get, work, one, make",0.401
862,17,0.262,BBC,"use, said, servic, may, peopl, govern, time, inform, one, also",0.535
863,4,0.124,BBC,"peopl, said, star, one, work, n’t, news, time, reader, get",0.454
864,12,0.162,BBC,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.492
865,16,0.295,BBC,"said, would, peopl, coronaviru, race, also, n’t, day, one, report",0.546
866,9,-0.033,BBC,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.133
867,8,0.047,BBC,"peopl, say, n’t, time, like, said, get, work, one, make",0.402
868,16,-0.068,BBC,"said, would, peopl, coronaviru, race, also, n’t, day, one, report",0.519
869,9,0.091,BBC,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.438
870,16,0.387,BBC,"said, would, peopl, coronaviru, race, also, n’t, day, one, report",0.68
871,14,0.156,BBC,"n’t, said, say, like, get, time, peopl, day, one, would",0.417
872,14,0.058,BBC,"n’t, said, say, like, get, time, peopl, day, one, would",0.467
873,8,0.201,BBC,"peopl, say, n’t, time, like, said, get, work, one, make",0.472
874,3,0.387,BBC,"n’t, one, get, time, said, make, like, ’re, say, use",0.731
875,11,0.03,BBC,"peopl, said, one, say, covid-19, year, home, time, get, case",0.466
876,3,0.202,BBC,"n’t, one, get, time, said, make, like, ’re, say, use",0.524
877,20,0.114,BBC,"said, one, time, would, may, market, also, n’t, govern, work",0.461
878,9,0.08,BBC,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.384
879,2,0.044,BBC,"said, peopl, would, say, time, get, first, prine, countri, one",0.472
880,9,0.063,BBC,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.501
881,8,0.047,Slate,"peopl, say, n’t, time, like, said, get, work, one, make",0.442
882,11,0.158,Slate,"peopl, said, one, say, covid-19, year, home, time, get, case",0.524
883,8,0.119,Slate,"peopl, say, n’t, time, like, said, get, work, one, make",0.454
884,3,0.014,Slate,"n’t, one, get, time, said, make, like, ’re, say, use",0.468
885,3,0.121,Slate,"n’t, one, get, time, said, make, like, ’re, say, use",0.429
886,3,0.08,Slate,"n’t, one, get, time, said, make, like, ’re, say, use",0.509
887,3,0.095,Slate,"n’t, one, get, time, said, make, like, ’re, say, use",0.452
888,16,-0.039,Slate,"said, would, peopl, coronaviru, race, also, n’t, day, one, report",0.495
889,8,0.021,Slate,"peopl, say, n’t, time, like, said, get, work, one, make",0.459
890,9,0.181,Slate,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.52
891,9,0.186,Slate,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.456
892,3,0.056,Slate,"n’t, one, get, time, said, make, like, ’re, say, use",0.472
893,16,0.116,Slate,"said, would, peopl, coronaviru, race, also, n’t, day, one, report",0.546
894,3,0.036,Slate,"n’t, one, get, time, said, make, like, ’re, say, use",0.368
895,3,0.159,Slate,"n’t, one, get, time, said, make, like, ’re, say, use",0.541
896,3,0.065,Slate,"n’t, one, get, time, said, make, like, ’re, say, use",0.529
897,7,-0.267,Slate,"n’t, one, car, year, said, time, peopl, get, like, music",0.513
898,4,-0.139,Slate,"peopl, said, star, one, work, n’t, news, time, reader, get",0.511
899,3,0.033,Slate,"n’t, one, get, time, said, make, like, ’re, say, use",0.472
900,3,0.111,Slate,"n’t, one, get, time, said, make, like, ’re, say, use",0.469
901,14,0.053,Slate,"n’t, said, say, like, get, time, peopl, day, one, would",0.518
902,8,0.035,Slate,"peopl, say, n’t, time, like, said, get, work, one, make",0.498
903,12,0.106,Slate,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.386
904,3,0.1,Slate,"n’t, one, get, time, said, make, like, ’re, say, use",0.512
905,3,0.102,Slate,"n’t, one, get, time, said, make, like, ’re, say, use",0.57
906,6,-0.246,Slate,"said, would, season, one, player, game, play, peopl, year, also",0.721
907,3,0.08,Slate,"n’t, one, get, time, said, make, like, ’re, say, use",0.518
908,3,0.051,Slate,"n’t, one, get, time, said, make, like, ’re, say, use",0.51
909,3,0.13,Slate,"n’t, one, get, time, said, make, like, ’re, say, use",0.528
910,10,0.056,Slate,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.546
